sno,context,charA,charB,relation,movie_name,GenderA,GenderB,GenderNeutral,RaceA,RaceB,Remarks
10," Mabel: What's the matter, hon?
Babe: Nothing.
Mabel: What's up, Babe? Something's eating you.
Babe: No. It's nothing.
Mabel: My unfailing instinct tells me something's gone wrong with the stew.
Babe: Don't be ridiculous.
Mabel: You haven't gotten very far, have you?
Babe: I can't write it, Mabel! I don't know what's the matter with me.
Mabel: Uh-huh. I think I can tell you. ",Babe,Mabel,Courtship,Mr Deeds Goes to Town,Female,Female,1,White,White,Courtship between two women?
11," Babe: Mabel, that guy's either the dumbest, the stupidest, the most imbecilic idiot in the world - or he's the grandest thing alive. I can't make him out.
Mabel: Uh-huh.
Babe: I'm crucifying him.
Mabel: People have been crucified before.
Babe: Why? Why do we have to do it?
Mabel: You started out to be a successful newspaper woman, didn't you?
Babe: Yeah, then what?
Mabel: Search me. Ask the Gypsies.
Babe: Here's a guy that's wholesome and fresh.
Mabel: The guy's balmy.
Babe: Is he? Yeah, I thought so, too. I tried to laugh, but I couldn't. It stuck in my throat.
Mabel: Aw, cut it out, will you? You'll get me thinking about Charlie again.
Babe: He's got goodness, Mabel. Do you know what that is?
Mabel: Huh?
Babe: No - of course you don't. We've forgotten. ",Babe,Mabel,Courtship,Mr Deeds Goes to Town,Female,Female,0,White,White,woman; How does the dialogue indicate courtship?
12," Mabel: Running away is no solution.
Mabel: What'll I tell him if he calls up?
Babe: Tell him I had to leave suddenly. I got a job in China - some place.
Mabel: You're acting like a school girl.
Babe: What else can I do? Keeping this up is no good. He's bound to find out sometime. ",Babe,Mabel,Courtship,Mr Deeds Goes to Town,Female,Female,0,White,White,girl; How does the dialogue indicate courtship?
13," Emily: Have they heard from father yet?
Kane: I've tried to tell you, Emily.
Emily: Here I am, darling...  Darling!...
Kane: Emily - you musn't leave me now -
Emily: They won't hurt you, darling. ",Emily,Kane,Spouse,Citizen Kane,Female,Male,1,White,White,
14," Emily: I'm sending Junior home in the car, Charles - with Oliver -
Kane: But I'd arranged to go home with you myself.
Emily: There's a call I want you to make with me, Charles.
Kane: It can wait.
Emily: No, it can't. ",Emily,Kane,Spouse,Citizen Kane,Female,Male,1,White,White,
15," Emily: There seems to be only one decision you can make, Charles.  I'd say that it has been made for you.
Kane: Have you gone completely mad, Emily?
Kane: You don't think I'm going to let this blackmailer intimidate me, do you?
Emily: I don't see what else you can do, Charles.  If he's right - and the papers publish this story he has -
Kane: Oh, they'll publish it all right. ",Emily,Kane,Spouse,Citizen Kane,Female,Male,1,White,White,
16," Kane: Oh yes, there is.
Emily: I don't think so.  Are you coming, Charles?
Kane: No.
Kane: There's only one person in the world to decide what I'm going to do - and that's me.  And if you think - if any of you think -
Emily: You decided what you were going to do, Charles - some time ago.
Kane: Go on!  Get out!  I can fight this thing all alone! ",Emily,Kane,Spouse,Citizen Kane,Female,Male,1,White,White,
17," Kane: It's not funny.
Susan: I'm sorry, mister - but you do look awful funny.
Susan: Ow!
Kane: What's the matter with you?
Susan: Toothache.
Kane: Hmm!
Susan: You've got some on your face.
Kane: If these sidewalks were kept in condition - instead of the money going to some cheap grafter -
Kane: What's funny now?
Susan: You are.  You look like you've been making mud pies.
Susan: Oh!
Kane: You're no Venus de Milo.
Kane: Thanks. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,0,White,White,mister
18," Susan: Hey, you should be more careful.
Kane: I'm sorry.  They live here, too?
Susan: No.  They've passed on.
Kane: Where's the soap?
Susan: In the water.
Susan: I always like to see the funny side of things.  No sense crying when you don't have to.  And you're so funny.  Looking at you, I forget all about my toothache.
Susan: Oh!
Kane: I can't stay here all night chasing your pain away.
Susan: I know...  But you do look so silly.
Kane: Where's the towel?
Susan: On the chiffonier.  Here.
Kane: Thanks.
Susan: I've got a brush in the closet. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
19," Susan: A chicken?
Kane: No.  But you're close.
Susan: A rooster?
Kane: You're getting farther away all the time.  It's a duck.
Susan: Excuse me, Mr. Kane.  I know this takes a lot of nerve, but - who are you?  I mean - I'm pretty ignorant, guess you caught on to that -
Susan: No.  That is, I bet it turns out I've heard your name a million times, only you know how it is -
Kane: But you like me, don't you?  Even though you don't know who I am?
Susan: You've been wonderful!  I can't tell you how glad I am you're here, I don't know many people and -
Kane: And I know too many people. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,0,White,White,Mr.
20," Kane: Who am I?  Well, let's see.  Charles Foster Kane was born in New Salem, Colorado in eighteen six -
Susan: Oh, me -
Kane: How old did you say you were?
Susan: I didn't say.
Kane: I didn't think you did.  If you had, I wouldn't have asked you again, because I'd have remembered.
Susan: Pretty old.  I'll be twenty-two in August.
Susan: I work at Seligman's.
Kane: Is that what you want to do?
Susan: I want to be a singer.
Kane: What happened to the singing?
Susan: Oh, no!  Nothing like that.  Mother always thought - she used to talk about Grand Opera for me.  Imagine! ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
21," Kane: Yes -
Susan: As a matter of fact, I do sing a little.
Kane: Would you sing for me?
Susan: Oh, you wouldn't want to hear me sing.
Kane: Yes, I would.  That's why I asked.
Susan: Well, I -
Kane: Don't tell me your toothache is bothering you again?
Susan: Oh, no, that's all gone.
Kane: Then you have no alibi at all. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
22," Susan: Charlie!  I said, what time is it?
Susan: I mean in New York.
Kane: Half past eleven.
Susan: At night?
Kane: Yes.  The bulldog's just gone to press.
Susan: Hurray for the bulldog! ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
23," Kane: You always said you wanted to live in a palace.
Susan: Can't we go back, Charlie?
Susan: Charlie -
Susan: If I promise to be a good girl! ",Kane,Susan,Spouse,Citizen Kane,Male,Female,0,White,White,girl
24," Kane: One thing I've never been able to understand, Susan.  How do you know you haven't done them before?
Susan: It makes a whole lot more sense than collecting Venuses.
Kane: You may be right -  I sometimes wonder - but you get into the habit -
Susan: It's not a habit.  I do it because I like it.
Kane: I was referring to myself. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
25," Kane: I've got more than a right as far as you're concerned, Susan.
Susan: Oh, I'm sick and tired of you telling me what I must and what I musn't do!
Kane: You're my wife, Susan, and -
Susan: I'm not just your wife, I'm a person all by myself - or I ought to be.
Kane: We can discuss all this some other time, Susan.  Right now -
Susan: I'll discuss what's on my mind when I want to.  You're not going to keep on running my life the way you want it.
Kane: As far as you're concerned, Susan, I've never wanted anything -  I don't want anything now - except what you want.
Susan: What you want me to want, you mean. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,0,White,White,wife
26," Kane: Susan, I really think -
Susan: Oh, I don't mean the things you've given me - that don't mean anything to you.  What's the difference between giving me a bracelet or giving somebody else a hundred thousand dollars for a statue you're going to keep crated up and never look at?  It's only money.  It doesn't mean anything.  You're not really giving anything that belongs to you, that you care about.
Kane: Susan, I want you to stop this.
Susan: Well, I'm not going to stop it. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
27," Susan: You'll never have another chance to hit me again.
Kane: Susan, it seems to me -
Susan: Don't tell me you're sorry.
Kane: I'm not sorry.
Susan: I'm going to leave you.
Kane: No, you're not.
Susan: Yes. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
28," Kane: Don't you realize that everybody here is going to know about this?
Kane: I won't let you go.
Susan: You can't stop me.
Susan: Goodbye, Charlie.
Kane: Don't go, Susan.
Susan: Let's not start all over again, Charlie.  We've said everything that can be said.
Kane: Susan, don't go!  Susan, please!
Kane: You mustn't go, Susan. ",Kane,Susan,Spouse,Citizen Kane,Male,Female,1,White,White,
29," George: Well, I handled that, Mr. Potter.
Potter: A friend of yours?
George: Yes, sir.
Potter: You see, if you shoot pool with some employee here, you can come and borrow money. What does that get us? A discontented, lazy rabble instead of a thrifty working class. And all because a few starry-eyed dreamers like Peter Bailey stir them up and fill their heads with a lot of impossible ideas. Now, I say...
George: Just a minute  just a minute. Now, hold on, Mr. Potter. You're right when you say my father was no business man. I know that. Why he ever started this cheap, penny-ante Building and Loan, I'll never know. But neither you nor anybody else can say anything against his character, because his whole life was... Why, in the twenty- ",George,Potter,Opponents,It's a Wonderful Life,Male,Male,0,White,White,"Mr., sir"
30," George: Thank you, sir. Quite a cigar, Mr.
Potter: You like it? I'll send you a box.
George: Well, I... I suppose I'll find out sooner or later, but just what exactly did you want to see me about?
Potter: George, now that's just what I like so much about you.
George: Yes. Well, most people say you stole all the rest.
Potter: The envious ones say that, George, the suckers. Now, I have stated my side very frankly. Now, let's look at your side.  Young man, twenty- ",George,Potter,Opponents,It's a Wonderful Life,Male,Male,0,White,White,Mr.
31," George: Forty-five!
Potter: Forty-five. Forty-five. Out of which, after supporting your mother, and paying your bills, you're able to keep, say, ten, if you skimp. A child or two comes along, and you won't even be able to save the ten. Now, if this young man of twenty-eight was a common, ordinary yokel, I'd say he was doing fine. But George Bailey is not a common, ordinary yokel. He's an intelligent, smart, ambitious young man . who hates his job  who hates the Building and Loan almost as much as I do. A young man who's been dying to get out on his own ever since he was born. A young man... the smartest one of the crowd, mind you, a young man who has to sit by and watch his friends go places, because he's trapped.  Yes, sir, trapped into frittering his life away playing nursemaid to a lot of garlic-eaters.  Do I paint a correct picture, or do I exaggerate?
George: Now what's your point, Mr. Potter?
Potter: My point? My point is, I want to hire you.
George: Hire me?
Potter: I want you to manage my affairs, run my properties. George, I'll start you out at twenty thousand dollars a year.
George: Twenty thou... twenty thousand dollars a year?
Potter: You wouldn't mind living in the nicest house in town, buying your wife a lot of fine clothes, a couple of business trips to New York a year, maybe once in a while Europe. You wouldn't mind that, would you, George?
George: Would I?
Potter: Oh, yes, George Bailey. Whose ship has just come in  providing he has brains enough to climb aboard.
George: Well, what about the Building and Loan?
Potter: Oh, confound it, man, are you afraid of success? I'm offering you a three year contract at twenty thousand dollars a year, starting today. Is it a deal or isn't it?
George: Well, Mr. Potter, I... I... I know I ought to jump at the chance, but I... I just...  I wonder if it would be possible for you to give me twenty-
Potter: Sure, sure, sure. You go on home and talk about it to your wife.
George: I'd like to do that.
Potter: In the meantime, I'll draw up the papers.
George: All right, sir.
Potter: Okay, George?
George: Okay, Mr. Potter.
George: No... no... no... no, now wait a minute, here!  I don't have to talk to anybody!  I know right now, and the answer is no! NO!  Doggone it! ",George,Potter,Opponents,It's a Wonderful Life,Male,Male,0,White,White,"Mr., wife"
32," George: I'm in trouble, Mr. Potter. I need help.  Through some sort of an accident my company's short in their accounts. The bank examiner's up there today. I've got to raise eight thousand dollars immediately.
Potter: Oh, so that's what the reporters wanted to talk to you about?
George: The reporters?
Potter: Yes. They called me up from your Building and Loan. Oh, there's a man over there from the D.A.'s office, too. He's looking for you.
George: Please help me, Mr. Potter. Help me, won't you please? Can't you see what it means to my family? I'll pay you any sort of a bonus on the loan...
Potter: George, could it possibly be there's a slight discrepancy in the books?
George: No, sir. There's nothing wrong with the books. I've just misplaced eight thousand dollars. I can't find it anywhere.
Potter: You misplaced eight thousand dollars?
George: Yes, sir.
Potter: Have you notified the police?
George: No, sir. I didn't want the publicity.
Potter: They're going to believe that one.
George: No, sir. No, sir. I haven't.
Potter: What is it  a woman, then? You know, it's all over town that you've been giving money to Violet Bick.
George: What?
Potter: Not that it makes any difference to me, but why did you come to me? Why don't you go to Sam Wainwright and ask him for the money?
George: I can't get hold of him. He's in Europe.
Potter: Well, what about all your other friends?
George: They don't have that kind of money, Mr. Potter. You know that. You're the only one in town that can help me.
Potter: I see. I've suddenly become quite important. What kind of security would I have, George? Have you got any stocks?
George: No, sir.
Potter: Bonds? Real estate? Collateral of any kind?
George: I have some life insurance, a fifteen thousand dollar policy.
Potter: Yes... how much is your equity in it?
George: Five hundred dollars.
Potter: Look at you. You used to be so cocky! ",George,Potter,Opponents,It's a Wonderful Life,Male,Male,0,White,White,Mr.
33," George: Hello, Mom.
Mrs. bailey: That's for nothing. How do you like her?
George: She's swell.
Mrs. bailey: Looks like she can keep Harry on his toes.
George: Keep him out of Bedford Falls, anyway.
Mrs. bailey: Did you know that Mary Hatch is back from school?
George: Uh-huh.
Mrs. bailey: Came back three days ago.
George: Hmmmm...
Mrs. bailey: Nice girl, Mary.
George: Hmmmm...
Mrs. bailey: Kind that will help you find the answers, George.
George: Hmmm...
Mrs. bailey: Oh, stop that grunting.
George: Hmmm...
Mrs. bailey: Can you give me one good reason why you shouldn't call on Mary?
George: Sure  Sam Wainwright.
Mrs. bailey: Hmmm?
George: Yes. Sam's crazy about Mary.
Mrs. bailey: Well, she's not crazy about him.
George: Well, how do you know? Did she discuss it with you?
Mrs. bailey: No.
George: Well then, how do you know?
Mrs. bailey: Well, I've got eyes, haven't I? Why, she lights up like a firefly whenever you're around.
George: Oh...
Mrs. bailey: And besides, Sam Wainwright's away in New York, and you're here in Bedford Falls.
George: And all's fair in love and war?
Mrs. bailey: I don't know about war.
George: Mother, you know, I can see right through you  right back to your back collar button... trying to get rid of me, huh?
Mrs. bailey: Uh-huh.
George: Well, here's your hat, what's your hurry?  All right, Mother, old Building and Loan pal, I think I'll go out and find a girl and do a little passionate necking.
Mrs. bailey: Oh, George!
George: Now, if you'll just point me in the right direction... This direction? ",George,Mrs. bailey,Child-Parent,It's a Wonderful Life,Male,Female,0,White,White,Mom
34," Jim: All right. All right. I'll listen.
Jim: Well?...
Jim: Go on.
Betsy: That's all.
Jim: That's all?!
Betsy: You don't see it, do you, father?
Jim: No. Fellow wants to sell a house so he puts an ad in the paper. What did you expect him to do, take it to the United Nations! ",Betsy,Jim,Child-Parent,Mr Blandings Builds His Dream House,Female,Male,0,White,White,father
35," Jim: You mean seven-fifteen.
Betsy: No, Dad, six-fifteen.
Jim: What about the seven-fifteen I'm supposed to take to the office every morning?!
Betsy: There's a little asterisk. The seven-
Jim: Let me see that! ",Betsy,Jim,Child-Parent,Mr Blandings Builds His Dream House,Female,Male,0,White,White,Dad
36," Betsy: You'd better hurry!
Betsy: We'll get in a lot of doubles.
Jim: Hmm?
Betsy: No, he's not. I heard him and mother talking. He's going to move his vacation up and take a place in Lansdale.
Jim: Uh-huh... Mm-hm. Mm-hm... Uh-huh. ",Betsy,Jim,Child-Parent,Mr Blandings Builds His Dream House,Female,Male,1,White,White,
37," Jim: That's none of your business!
Betsy: I'd say mother and Uncle Bill were somewhat of an item!
Betsy: What about --?
Jim: I'll take care of that. Now, shoo, shoo. ",Betsy,Jim,Child-Parent,Mr Blandings Builds His Dream House,Female,Male,1,White,White,
38," Betty: Ahem.
Judy: He's awful cute.
Betty: So was the one in Kansas City, and the one in Canton, Ohio, and the one in Waco, Texas.
Judy: Canton, Ohio wasn't so much.
Betty: One of these days you're going to meet somebody extra cute and the next performance I'll be doing a single.
Judy: Nobody'll ever be cute enough to break up this sister act. ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
39," Judy: They're both very cute, aren't they?
Judy: Uh huh.
Betty: Which one do you like best?
Judy: I like them both.
Betty: You can't have both.  There's a law.
Judy: Oh, we'll never meet them again, what does it matter? ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
40," Betty: The owner of the hotel we were at says we dropped a cigarette on his rug and burned it.
Judy: We couldn't have dropped a cigarette because we don't smoke.
Betty: He wants two hundred dollars, but it's just plain stealing.
Judy: We left the money for our bill in an envelope on the bed.
Betty: Then we dropped the bags out the window and checked them at the depot.
Judy: What are we going to do now? ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
41," Betty: We're near the bakery.
Judy: Everything's so wonderful here, so pretty, so exciting, I can't understand how you stay frozen up.
Betty: Which one is it?
Judy: What do you mean?
Betty: Bob or Phil?
Judy: Neither.
Betty: You mean both.
Judy: It's the same.  No one is going to break up our act.
Betty: Isn't there one you prefer over the other?
Judy: The way Phil dances, and he's funny.
Betty: And Bob?
Judy: He's different, deeper, and he's funny, too.  It'd be nice to be married to both of them.
Betty: Good thing they're not a quartette.
Judy: If I was Catherine the Great, that's what I'd do.  Phil in the daytime, Bob at night. Or should it be the other way around? ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
42," Betty: Darling, don't cry.
Judy: I didn't know he was going to make that announcement, I swear I didn't.
Betty: I know you didn't.
Judy: He had no right to do that.
Betty: You do love him, don't you?
Judy: That doesn't matter.
Betty: Nothing else matters.
Judy: We're not going to break up our act. ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
43," Judy: When did you get this offer?
Betty: Just today, as a matter of fact.  I got a telegram.
Judy: Why didn't you mention it before?
Betty: I didn't want to hurt your feelings.
Judy: Where is the telegram?
Betty: I threw it away.  What is this, a third degree?  You don't think I made it up?
Judy: Yes, I do. ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
44," Judy: We were rehearsing for the show tomorrow night.
Betty: Is it going to be that kind of a show?  We'll be raided!
Judy: What are you doing here?  What happened at The Carousel?
Betty: I'm helping out here tomorrow. ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
45," Betty: Bob is still pacing up and down on the porch... I think I'll go out and see what's bothering him.
Judy: That's how I started in Canton, Ohio.
Betty: This is Vermont.  Nothing can happen here.
Judy: Keep your guard up... That ain't Coolidge out on that porch. ",Betty,Judy,Siblings,White Christmas,Female,Female,1,White,White,
46," Dr. dreyfuss: Good evening, Baxter.
Bud: Hi, Doc.  Had a late call?
Dr. dreyfuss: Yeah.  Some clown at Schrafft's 57th Street ate a club sandwich, and forgot to take out the toothpick.
Bud: Oh.
Dr. dreyfuss: Say, Baxter -- the way you're belting that stuff, you must have a pair of cast-iron kidneys.
Bud: Oh, that's not me.  It's just that once in a while, I have some people in for a drink.
Dr. dreyfuss: As a matter of fact, you must be an iron man all around. From what I hear through the walls, you got something going for you every night.
Bud: I'm sorry if it gets noisy --
Dr. dreyfuss: Sometimes,  there's a twi-night double-header.
Bud: Yeah.  Well -- see you, Doc.
Dr. dreyfuss: You know, Baxter -- I'm doing some research at the Columbia Medical Center -- and I wonder if you could do us a favor?
Bud: Me?
Dr. dreyfuss: When you make out your will -- and the way you're going, you should --
Bud: My body?  I'm afraid you guys would be disappointed.  Good night, Doc.
Dr. dreyfuss: Slow down, kid. ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,0,White,White,"Bud and Baxter are inconsistent; does ""iron man"" reveal gender?"
47," Dr. dreyfuss: How many pills were in that bottle?
Bud: It was half-full -- about a dozen or so. You going to have to take her to the hospital?
Dr. dreyfuss: Help me, will you?
Dr. dreyfuss: Into the bathroom. ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
48," Dr. dreyfuss: Want to tell me what happened?
Bud: I don't know -- I mean -- I wasn't here -- you see -- we had some words earlier -- nothing serious, really -- what you might call a lovers' quarrel --
Dr. dreyfuss: So you went right out and picked yourself up another dame.
Bud: Something like that.
Dr. dreyfuss: You know, Baxter, you're a real cutie-pie -- yes, you are.
Dr. dreyfuss: If you'd come home half an hour later, you would have had quite a Christmas present.
Dr. dreyfuss: Get the coffee.
Dr. dreyfuss: Let's get some air in here. Open the windows. ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
49," Dr. dreyfuss: She'll sleep on and off for the next twenty-four hours. Of course, she'll have a dandy hangover when she wakes up --
Bud: Just as long as she's okay.
Dr. dreyfuss: These cases are harder on the doctor than on the patient. I ought to charge you by the mile.
Dr. dreyfuss: Any of that coffee left?
Bud: Sure.
Dr. dreyfuss: How do you spell her last name?
Bud: Kubelik -- with two k's.
Dr. dreyfuss: What's her address?
Bud: Why do you want to know, Doc? You don't have to report this, do you?
Dr. dreyfuss: It's regulations.
Bud: She didn't mean it, Doc -- it was an accident -- she had a little too much to drink and -- she didn't know what she was doing -- there was no suicide note or anything -- ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
50," Bud: It's just that she's got a family --
Dr. dreyfuss: Well, as a doctor, I guess I can't prove it wasn't an accident.
Bud: Help yourself.
Bud: I'm not sure.
Dr. dreyfuss: A mansch -- a human being! So you got off easy this time -- so you were lucky --
Bud: Yeah, wasn't I?
Dr. dreyfuss: But you're not out of the woods yet, Baxter -- because most of them try it again! ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
51," Bud: Care for a martini? Champagne?
Dr. dreyfuss: Hi, Baxter.
Dr. dreyfuss: How's the patient?
Bud: Oh, I'm fine, Doc.
Dr. dreyfuss: Not you -- Miss Kubelik. ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
52," Dr. dreyfuss: Say, Baxter -- we're having a little party and we ran out of ice -- so I was wondering --
Bud: Sure, Doc.
Dr. dreyfuss: How come you're alone on New Year's Eve?
Bud: Well, I have things to do --
Dr. dreyfuss: What's this -- you packing?
Bud: Yeah -- I'm giving up the apartment. ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
53," Dr. dreyfuss: Where are you moving to?
Bud: I don't know. All I know is I got to get out of this place.
Dr. dreyfuss: Sorry to lose you, Baxter.
Bud: Me? Oh, you mean my body. Don't worry, Doc -- it'll go to the University -- I'll put it in writing -- ",Bud,Dr. dreyfuss,Neighbors,The Apartment,Male,Male,1,White,White,Bud and Baxter are inconsistent
54," Fran: Watch the door, please.  Blasting off.
Bud: What did you do to your hair?
Fran: It was making me nervous, so I chopped it off.  Big mistake, huh?
Bud: I sort of like it.
Fran: Say, you got a lulu.
Bud: Yeah.  I better not get too close.
Fran: Oh, I never catch colds.
Bud: Really?  I was looking at some figures from the Sickness and Accident Claims Division -- do you know that the average New Yorker between the ages of twenty and fifty has two and a half colds a year?
Fran: That makes me feel just terrible.
Bud: Why?
Fran: Well, to make the figures come out even -- since I have no colds a year -- some poor slob must have five colds a year.
Bud: That's me.
Fran: You should have stayed in bed this morning.
Bud: I should have stayed in bed last night.
Fran: Nineteen.  Watch your step.
Fran: And watch your hand, Mr. Kirkeby! ",Bud,Fran,Lovers,The Apartment,Male,Female,0,White,White,"Mr.,  Fran might be addressed as ""Miss Kubelik"""
